ID,SKU,Product title,Price,Category
57,,testa pirkums Cup,0.25,All
60,,Big Vase Pink (24cm),390,"All, Gold Selection, Vases"
67,,Big Vase Tangerine Sunrise,450,"All, Gold Selection, Vases"
73,,L cup Blue-green,140,"All, Cups, Gold Selection"
77,,Mug Blue-green,160,"All, Cups, Gold Selection"
84,,Mug Tangerine Sunrise,150,"All, Cups, Gold Selection"
89,,M Vase rainbow,240,Uncategorized
96,,L cup gradient gold,140,"All, Cups, Gold Selection"
106,,S Cup Pink,120,"All, Cups, Gold Selection"
111,,L cup Pink,170,"All, Cups, Gold Selection"
116,,L Cup Rainbow Simple (DISCOUNTED),130,"All, Cups, Gold Selection"
122,,Silver Cup Set,120,"All, Cups, Gold Selection"
589,,Small Vase Pink,220,"All, Gold Selection, Vases"
596,,Small Vase Blue-green,230,"All, Gold Selection, Vases"
602,,L Cup Pink Simple,145,"All, Cups, Gold Selection"
608,,S Cup Blue-green,120,"All, Cups, Gold Selection"
615,,L cup Lavender Haze with Handle,150,"All, Cups, Gold Selection"
620,,2x S Cup Rainbow SET,380,"All, Cups, Gold Selection"
775,,Oval Vase S,80,"All, Vases"
806,,Oval Vase M,90,"All, Vases"
807,,Oval Vase L,110,"All, Vases"
808,,2x L cup Rainbow,320,Uncategorized
813,,Mises Award,900,Portraits
826,,Hayek Award,900,Portraits
827,,Rothbard Award,900,Portraits
829,,Bastiat Award,900,Portraits
1042,,L cup Pink (DISCOUNTED),150,"All, Cups, Gold Selection, Uncategorized"
1046,,L cup Tangerine Sunrise,170,"All, Cups, Gold Selection"
1063,,Small Cup Blue-green,80,"All, Cups, Gold Selection"
1067,,Saucer Pink,70,"All, Gold Selection"
1081,,Saucer Blue-green,70,"All, Gold Selection"
1086,,Blue-green Cup set,460,Uncategorized
1161,,Vase Pink (29cm),450,"All, Gold Selection, Vases"
1167,,S cup + XS cup sets Bluegreen,300,Uncategorized
1173,,Starry Night Vase,950,"All, Gold Selection, Vases"
1188,,L cup Rainbow,170,"All, Cups, Gold Selection"
1189,,Mug Rainbow,160,"All, Cups, Gold Selection"
1190,,S cup Rainbow,120,"All, Cups, Gold Selection"
1191,,Saucer Rainbow,70,"All, Gold Selection"
1240,,Saucer Tangerine Sunrise,70,"All, Gold Selection"
1263,,L cup Blue-green,170,Uncategorized
1264,,S Cup Tangerine Sunrise,120,"All, Cups, Gold Selection"
1268,,Sunset In The Mountains Vase #1,1250,"All, Gold Selection, Vases"
1366,,Holy Neon Trinity Vase #1,1500,"All, Vases"
1378,,Holy Neon Trinity Vase #2,1500,"All, Vases"
1414,,Sunset In The Mountains Vase #2,2500,"All, Gold Selection, Vases"
1429,,Sunset In The Mountains Vase #3,3000,"All, Gold Selection, Vases"
1441,,Sunset In The Mountains Vase #4,3500,"All, Gold Selection, Vases"
1493,,Pink Bottle,180,"All, Gold Selection, Vases"
1520,,Starry Night Vase #2,2600,"All, Gold Selection, Vases"
1531,,Starry Night Vase #3,3000,"All, Gold Selection, Vases"
1542,,Twisted Sky Vase,3500,"All, Gold Selection, Vases"
1605,,Mug Rainbow (DISCOUNTED),140,Uncategorized
1610,,Small Vase Rainbow #1,240,"All, Gold Selection, Vases"
1616,,Twisted Sky Vase #2,3100,"All, Gold Selection, Vases"
1628,,Sunset In the Mountains Vase #5,3000,"All, Gold Selection, Vases"
1638,,Sunset In the Mountains Vase #6,3500,"All, Gold Selection, Vases"
1699,,XS Cup Set (blue-green),160,"All, Cups, Gold Selection"
1742,,Small Vase Rainbow #2,240,"All, Gold Selection, Vases"
1812,,M Vase Sunset #4,1600,"All, Gold Selection, Vases"
1827,,M Vase Sunset #5,1700,"All, Gold Selection, Vases"
1839,,M Vase Sunset #6,1800,"All, Gold Selection, Vases"
2021,,Small Vase Tangerine Sunrise,230,"All, Gold Selection, Vases"
2027,,Small Vase Pink - Yellow,220,"All, Gold Selection, Vases"
2075,,M Vase Twisted Sky,1900,"All, Gold Selection, Vases"
2088,,XS Cup Set (Tangerine Sunrise),160,"All, Cups, Gold Selection"